,index,Depth Path,Image Path,Instance Segmentation Path,Semantic Segmentation Path
10,10,hypersim_data/ai_024_005/images/scene_cam_00_geometry_hdf5/frame.0010.depth_meters.hdf5,hypersim_data/ai_024_005/images/scene_cam_00_final_preview/frame.0010.color.jpg,hypersim_data/ai_024_005/images/scene_cam_00_geometry_hdf5/frame.0010.semantic_instance.hdf5,hypersim_data/ai_024_005/images/scene_cam_00_geometry_hdf5/frame.0010.semantic.hdf5
11,11,hypersim_data/ai_024_011/images/scene_cam_00_geometry_hdf5/frame.0065.depth_meters.hdf5,hypersim_data/ai_024_011/images/scene_cam_00_final_preview/frame.0065.color.jpg,hypersim_data/ai_024_011/images/scene_cam_00_geometry_hdf5/frame.0065.semantic_instance.hdf5,hypersim_data/ai_024_011/images/scene_cam_00_geometry_hdf5/frame.0065.semantic.hdf5
12,12,hypersim_data/ai_004_010/images/scene_cam_00_geometry_hdf5/frame.0060.depth_meters.hdf5,hypersim_data/ai_004_010/images/scene_cam_00_final_preview/frame.0060.color.jpg,hypersim_data/ai_004_010/images/scene_cam_00_geometry_hdf5/frame.0060.semantic_instance.hdf5,hypersim_data/ai_004_010/images/scene_cam_00_geometry_hdf5/frame.0060.semantic.hdf5
13,13,hypersim_data/ai_016_002/images/scene_cam_00_geometry_hdf5/frame.0035.depth_meters.hdf5,hypersim_data/ai_016_002/images/scene_cam_00_final_preview/frame.0035.color.jpg,hypersim_data/ai_016_002/images/scene_cam_00_geometry_hdf5/frame.0035.semantic_instance.hdf5,hypersim_data/ai_016_002/images/scene_cam_00_geometry_hdf5/frame.0035.semantic.hdf5
14,14,hypersim_data/ai_026_019/images/scene_cam_01_geometry_hdf5/frame.0055.depth_meters.hdf5,hypersim_data/ai_026_019/images/scene_cam_01_final_preview/frame.0055.color.jpg,hypersim_data/ai_026_019/images/scene_cam_01_geometry_hdf5/frame.0055.semantic_instance.hdf5,hypersim_data/ai_026_019/images/scene_cam_01_geometry_hdf5/frame.0055.semantic.hdf5
15,15,hypersim_data/ai_031_006/images/scene_cam_00_geometry_hdf5/frame.0010.depth_meters.hdf5,hypersim_data/ai_031_006/images/scene_cam_00_final_preview/frame.0010.color.jpg,hypersim_data/ai_031_006/images/scene_cam_00_geometry_hdf5/frame.0010.semantic_instance.hdf5,hypersim_data/ai_031_006/images/scene_cam_00_geometry_hdf5/frame.0010.semantic.hdf5
16,16,hypersim_data/ai_008_002/images/scene_cam_01_geometry_hdf5/frame.0050.depth_meters.hdf5,hypersim_data/ai_008_002/images/scene_cam_01_final_preview/frame.0050.color.jpg,hypersim_data/ai_008_002/images/scene_cam_01_geometry_hdf5/frame.0050.semantic_instance.hdf5,hypersim_data/ai_008_002/images/scene_cam_01_geometry_hdf5/frame.0050.semantic.hdf5
17,17,hypersim_data/ai_010_008/images/scene_cam_00_geometry_hdf5/frame.0055.depth_meters.hdf5,hypersim_data/ai_010_008/images/scene_cam_00_final_preview/frame.0055.color.jpg,hypersim_data/ai_010_008/images/scene_cam_00_geometry_hdf5/frame.0055.semantic_instance.hdf5,hypersim_data/ai_010_008/images/scene_cam_00_geometry_hdf5/frame.0055.semantic.hdf5
18,18,hypersim_data/ai_016_009/images/scene_cam_02_geometry_hdf5/frame.0010.depth_meters.hdf5,hypersim_data/ai_016_009/images/scene_cam_02_final_preview/frame.0010.color.jpg,hypersim_data/ai_016_009/images/scene_cam_02_geometry_hdf5/frame.0010.semantic_instance.hdf5,hypersim_data/ai_016_009/images/scene_cam_02_geometry_hdf5/frame.0010.semantic.hdf5
19,19,hypersim_data/ai_046_002/images/scene_cam_01_geometry_hdf5/frame.0035.depth_meters.hdf5,hypersim_data/ai_046_002/images/scene_cam_01_final_preview/frame.0035.color.jpg,hypersim_data/ai_046_002/images/scene_cam_01_geometry_hdf5/frame.0035.semantic_instance.hdf5,hypersim_data/ai_046_002/images/scene_cam_01_geometry_hdf5/frame.0035.semantic.hdf5
20,20,hypersim_data/ai_024_007/images/scene_cam_00_geometry_hdf5/frame.0025.depth_meters.hdf5,hypersim_data/ai_024_007/images/scene_cam_00_final_preview/frame.0025.color.jpg,hypersim_data/ai_024_007/images/scene_cam_00_geometry_hdf5/frame.0025.semantic_instance.hdf5,hypersim_data/ai_024_007/images/scene_cam_00_geometry_hdf5/frame.0025.semantic.hdf5
21,21,hypersim_data/ai_055_010/images/scene_cam_01_geometry_hdf5/frame.0015.depth_meters.hdf5,hypersim_data/ai_055_010/images/scene_cam_01_final_preview/frame.0015.color.jpg,hypersim_data/ai_055_010/images/scene_cam_01_geometry_hdf5/frame.0015.semantic_instance.hdf5,hypersim_data/ai_055_010/images/scene_cam_01_geometry_hdf5/frame.0015.semantic.hdf5
22,22,hypersim_data/ai_029_003/images/scene_cam_02_geometry_hdf5/frame.0055.depth_meters.hdf5,hypersim_data/ai_029_003/images/scene_cam_02_final_preview/frame.0055.color.jpg,hypersim_data/ai_029_003/images/scene_cam_02_geometry_hdf5/frame.0055.semantic_instance.hdf5,hypersim_data/ai_029_003/images/scene_cam_02_geometry_hdf5/frame.0055.semantic.hdf5
23,23,hypersim_data/ai_037_006/images/scene_cam_00_geometry_hdf5/frame.0085.depth_meters.hdf5,hypersim_data/ai_037_006/images/scene_cam_00_final_preview/frame.0085.color.jpg,hypersim_data/ai_037_006/images/scene_cam_00_geometry_hdf5/frame.0085.semantic_instance.hdf5,hypersim_data/ai_037_006/images/scene_cam_00_geometry_hdf5/frame.0085.semantic.hdf5
24,24,hypersim_data/ai_054_004/images/scene_cam_01_geometry_hdf5/frame.0035.depth_meters.hdf5,hypersim_data/ai_054_004/images/scene_cam_01_final_preview/frame.0035.color.jpg,hypersim_data/ai_054_004/images/scene_cam_01_geometry_hdf5/frame.0035.semantic_instance.hdf5,hypersim_data/ai_054_004/images/scene_cam_01_geometry_hdf5/frame.0035.semantic.hdf5
25,25,hypersim_data/ai_051_001/images/scene_cam_01_geometry_hdf5/frame.0060.depth_meters.hdf5,hypersim_data/ai_051_001/images/scene_cam_01_final_preview/frame.0060.color.jpg,hypersim_data/ai_051_001/images/scene_cam_01_geometry_hdf5/frame.0060.semantic_instance.hdf5,hypersim_data/ai_051_001/images/scene_cam_01_geometry_hdf5/frame.0060.semantic.hdf5
26,26,hypersim_data/ai_004_006/images/scene_cam_01_geometry_hdf5/frame.0045.depth_meters.hdf5,hypersim_data/ai_004_006/images/scene_cam_01_final_preview/frame.0045.color.jpg,hypersim_data/ai_004_006/images/scene_cam_01_geometry_hdf5/frame.0045.semantic_instance.hdf5,hypersim_data/ai_004_006/images/scene_cam_01_geometry_hdf5/frame.0045.semantic.hdf5
27,27,hypersim_data/ai_008_005/images/scene_cam_00_geometry_hdf5/frame.0035.depth_meters.hdf5,hypersim_data/ai_008_005/images/scene_cam_00_final_preview/frame.0035.color.jpg,hypersim_data/ai_008_005/images/scene_cam_00_geometry_hdf5/frame.0035.semantic_instance.hdf5,hypersim_data/ai_008_005/images/scene_cam_00_geometry_hdf5/frame.0035.semantic.hdf5
28,28,hypersim_data/ai_033_001/images/scene_cam_00_geometry_hdf5/frame.0085.depth_meters.hdf5,hypersim_data/ai_033_001/images/scene_cam_00_final_preview/frame.0085.color.jpg,hypersim_data/ai_033_001/images/scene_cam_00_geometry_hdf5/frame.0085.semantic_instance.hdf5,hypersim_data/ai_033_001/images/scene_cam_00_geometry_hdf5/frame.0085.semantic.hdf5
29,29,hypersim_data/ai_054_001/images/scene_cam_01_geometry_hdf5/frame.0030.depth_meters.hdf5,hypersim_data/ai_054_001/images/scene_cam_01_final_preview/frame.0030.color.jpg,hypersim_data/ai_054_001/images/scene_cam_01_geometry_hdf5/frame.0030.semantic_instance.hdf5,hypersim_data/ai_054_001/images/scene_cam_01_geometry_hdf5/frame.0030.semantic.hdf5
30,30,hypersim_data/ai_044_001/images/scene_cam_01_geometry_hdf5/frame.0080.depth_meters.hdf5,hypersim_data/ai_044_001/images/scene_cam_01_final_preview/frame.0080.color.jpg,hypersim_data/ai_044_001/images/scene_cam_01_geometry_hdf5/frame.0080.semantic_instance.hdf5,hypersim_data/ai_044_001/images/scene_cam_01_geometry_hdf5/frame.0080.semantic.hdf5
31,31,hypersim_data/ai_052_006/images/scene_cam_00_geometry_hdf5/frame.0015.depth_meters.hdf5,hypersim_data/ai_052_006/images/scene_cam_00_final_preview/frame.0015.color.jpg,hypersim_data/ai_052_006/images/scene_cam_00_geometry_hdf5/frame.0015.semantic_instance.hdf5,hypersim_data/ai_052_006/images/scene_cam_00_geometry_hdf5/frame.0015.semantic.hdf5
32,32,hypersim_data/ai_045_004/images/scene_cam_00_geometry_hdf5/frame.0035.depth_meters.hdf5,hypersim_data/ai_045_004/images/scene_cam_00_final_preview/frame.0035.color.jpg,hypersim_data/ai_045_004/images/scene_cam_00_geometry_hdf5/frame.0035.semantic_instance.hdf5,hypersim_data/ai_045_004/images/scene_cam_00_geometry_hdf5/frame.0035.semantic.hdf5
33,33,hypersim_data/ai_034_001/images/scene_cam_01_geometry_hdf5/frame.0085.depth_meters.hdf5,hypersim_data/ai_034_001/images/scene_cam_01_final_preview/frame.0085.color.jpg,hypersim_data/ai_034_001/images/scene_cam_01_geometry_hdf5/frame.0085.semantic_instance.hdf5,hypersim_data/ai_034_001/images/scene_cam_01_geometry_hdf5/frame.0085.semantic.hdf5
34,34,hypersim_data/ai_051_005/images/scene_cam_02_geometry_hdf5/frame.0040.depth_meters.hdf5,hypersim_data/ai_051_005/images/scene_cam_02_final_preview/frame.0040.color.jpg,hypersim_data/ai_051_005/images/scene_cam_02_geometry_hdf5/frame.0040.semantic_instance.hdf5,hypersim_data/ai_051_005/images/scene_cam_02_geometry_hdf5/frame.0040.semantic.hdf5
35,35,hypersim_data/ai_007_010/images/scene_cam_01_geometry_hdf5/frame.0015.depth_meters.hdf5,hypersim_data/ai_007_010/images/scene_cam_01_final_preview/frame.0015.color.jpg,hypersim_data/ai_007_010/images/scene_cam_01_geometry_hdf5/frame.0015.semantic_instance.hdf5,hypersim_data/ai_007_010/images/scene_cam_01_geometry_hdf5/frame.0015.semantic.hdf5
36,36,hypersim_data/ai_028_005/images/scene_cam_00_geometry_hdf5/frame.0060.depth_meters.hdf5,hypersim_data/ai_028_005/images/scene_cam_00_final_preview/frame.0060.color.jpg,hypersim_data/ai_028_005/images/scene_cam_00_geometry_hdf5/frame.0060.semantic_instance.hdf5,hypersim_data/ai_028_005/images/scene_cam_00_geometry_hdf5/frame.0060.semantic.hdf5
37,37,hypersim_data/ai_052_007/images/scene_cam_01_geometry_hdf5/frame.0055.depth_meters.hdf5,hypersim_data/ai_052_007/images/scene_cam_01_final_preview/frame.0055.color.jpg,hypersim_data/ai_052_007/images/scene_cam_01_geometry_hdf5/frame.0055.semantic_instance.hdf5,hypersim_data/ai_052_007/images/scene_cam_01_geometry_hdf5/frame.0055.semantic.hdf5
38,38,hypersim_data/ai_033_009/images/scene_cam_00_geometry_hdf5/frame.0005.depth_meters.hdf5,hypersim_data/ai_033_009/images/scene_cam_00_final_preview/frame.0005.color.jpg,hypersim_data/ai_033_009/images/scene_cam_00_geometry_hdf5/frame.0005.semantic_instance.hdf5,hypersim_data/ai_033_009/images/scene_cam_00_geometry_hdf5/frame.0005.semantic.hdf5
39,39,hypersim_data/ai_012_005/images/scene_cam_00_geometry_hdf5/frame.0090.depth_meters.hdf5,hypersim_data/ai_012_005/images/scene_cam_00_final_preview/frame.0090.color.jpg,hypersim_data/ai_012_005/images/scene_cam_00_geometry_hdf5/frame.0090.semantic_instance.hdf5,hypersim_data/ai_012_005/images/scene_cam_00_geometry_hdf5/frame.0090.semantic.hdf5
40,40,hypersim_data/ai_024_008/images/scene_cam_00_geometry_hdf5/frame.0005.depth_meters.hdf5,hypersim_data/ai_024_008/images/scene_cam_00_final_preview/frame.0005.color.jpg,hypersim_data/ai_024_008/images/scene_cam_00_geometry_hdf5/frame.0005.semantic_instance.hdf5,hypersim_data/ai_024_008/images/scene_cam_00_geometry_hdf5/frame.0005.semantic.hdf5
41,41,hypersim_data/ai_052_008/images/scene_cam_01_geometry_hdf5/frame.0030.depth_meters.hdf5,hypersim_data/ai_052_008/images/scene_cam_01_final_preview/frame.0030.color.jpg,hypersim_data/ai_052_008/images/scene_cam_01_geometry_hdf5/frame.0030.semantic_instance.hdf5,hypersim_data/ai_052_008/images/scene_cam_01_geometry_hdf5/frame.0030.semantic.hdf5
42,42,hypersim_data/ai_051_002/images/scene_cam_01_geometry_hdf5/frame.0045.depth_meters.hdf5,hypersim_data/ai_051_002/images/scene_cam_01_final_preview/frame.0045.color.jpg,hypersim_data/ai_051_002/images/scene_cam_01_geometry_hdf5/frame.0045.semantic_instance.hdf5,hypersim_data/ai_051_002/images/scene_cam_01_geometry_hdf5/frame.0045.semantic.hdf5
43,43,hypersim_data/ai_027_008/images/scene_cam_03_geometry_hdf5/frame.0010.depth_meters.hdf5,hypersim_data/ai_027_008/images/scene_cam_03_final_preview/frame.0010.color.jpg,hypersim_data/ai_027_008/images/scene_cam_03_geometry_hdf5/frame.0010.semantic_instance.hdf5,hypersim_data/ai_027_008/images/scene_cam_03_geometry_hdf5/frame.0010.semantic.hdf5
44,44,hypersim_data/ai_048_006/images/scene_cam_00_geometry_hdf5/frame.0035.depth_meters.hdf5,hypersim_data/ai_048_006/images/scene_cam_00_final_preview/frame.0035.color.jpg,hypersim_data/ai_048_006/images/scene_cam_00_geometry_hdf5/frame.0035.semantic_instance.hdf5,hypersim_data/ai_048_006/images/scene_cam_00_geometry_hdf5/frame.0035.semantic.hdf5
45,45,hypersim_data/ai_054_007/images/scene_cam_00_geometry_hdf5/frame.0095.depth_meters.hdf5,hypersim_data/ai_054_007/images/scene_cam_00_final_preview/frame.0095.color.jpg,hypersim_data/ai_054_007/images/scene_cam_00_geometry_hdf5/frame.0095.semantic_instance.hdf5,hypersim_data/ai_054_007/images/scene_cam_00_geometry_hdf5/frame.0095.semantic.hdf5
46,46,hypersim_data/ai_008_007/images/scene_cam_00_geometry_hdf5/frame.0045.depth_meters.hdf5,hypersim_data/ai_008_007/images/scene_cam_00_final_preview/frame.0045.color.jpg,hypersim_data/ai_008_007/images/scene_cam_00_geometry_hdf5/frame.0045.semantic_instance.hdf5,hypersim_data/ai_008_007/images/scene_cam_00_geometry_hdf5/frame.0045.semantic.hdf5
47,47,hypersim_data/ai_005_007/images/scene_cam_00_geometry_hdf5/frame.0075.depth_meters.hdf5,hypersim_data/ai_005_007/images/scene_cam_00_final_preview/frame.0075.color.jpg,hypersim_data/ai_005_007/images/scene_cam_00_geometry_hdf5/frame.0075.semantic_instance.hdf5,hypersim_data/ai_005_007/images/scene_cam_00_geometry_hdf5/frame.0075.semantic.hdf5
48,48,hypersim_data/ai_027_001/images/scene_cam_03_geometry_hdf5/frame.0080.depth_meters.hdf5,hypersim_data/ai_027_001/images/scene_cam_03_final_preview/frame.0080.color.jpg,hypersim_data/ai_027_001/images/scene_cam_03_geometry_hdf5/frame.0080.semantic_instance.hdf5,hypersim_data/ai_027_001/images/scene_cam_03_geometry_hdf5/frame.0080.semantic.hdf5
49,49,hypersim_data/ai_005_005/images/scene_cam_00_geometry_hdf5/frame.0070.depth_meters.hdf5,hypersim_data/ai_005_005/images/scene_cam_00_final_preview/frame.0070.color.jpg,hypersim_data/ai_005_005/images/scene_cam_00_geometry_hdf5/frame.0070.semantic_instance.hdf5,hypersim_data/ai_005_005/images/scene_cam_00_geometry_hdf5/frame.0070.semantic.hdf5
50,50,hypersim_data/ai_024_011/images/scene_cam_00_geometry_hdf5/frame.0085.depth_meters.hdf5,hypersim_data/ai_024_011/images/scene_cam_00_final_preview/frame.0085.color.jpg,hypersim_data/ai_024_011/images/scene_cam_00_geometry_hdf5/frame.0085.semantic_instance.hdf5,hypersim_data/ai_024_011/images/scene_cam_00_geometry_hdf5/frame.0085.semantic.hdf5
51,51,hypersim_data/ai_048_007/images/scene_cam_03_geometry_hdf5/frame.0005.depth_meters.hdf5,hypersim_data/ai_048_007/images/scene_cam_03_final_preview/frame.0005.color.jpg,hypersim_data/ai_048_007/images/scene_cam_03_geometry_hdf5/frame.0005.semantic_instance.hdf5,hypersim_data/ai_048_007/images/scene_cam_03_geometry_hdf5/frame.0005.semantic.hdf5
52,52,hypersim_data/ai_029_001/images/scene_cam_01_geometry_hdf5/frame.0060.depth_meters.hdf5,hypersim_data/ai_029_001/images/scene_cam_01_final_preview/frame.0060.color.jpg,hypersim_data/ai_029_001/images/scene_cam_01_geometry_hdf5/frame.0060.semantic_instance.hdf5,hypersim_data/ai_029_001/images/scene_cam_01_geometry_hdf5/frame.0060.semantic.hdf5
53,54,hypersim_data/ai_044_003/images/scene_cam_02_geometry_hdf5/frame.0080.depth_meters.hdf5,hypersim_data/ai_044_003/images/scene_cam_02_final_preview/frame.0080.color.jpg,hypersim_data/ai_044_003/images/scene_cam_02_geometry_hdf5/frame.0080.semantic_instance.hdf5,hypersim_data/ai_044_003/images/scene_cam_02_geometry_hdf5/frame.0080.semantic.hdf5
54,55,hypersim_data/ai_042_004/images/scene_cam_01_geometry_hdf5/frame.0030.depth_meters.hdf5,hypersim_data/ai_042_004/images/scene_cam_01_final_preview/frame.0030.color.jpg,hypersim_data/ai_042_004/images/scene_cam_01_geometry_hdf5/frame.0030.semantic_instance.hdf5,hypersim_data/ai_042_004/images/scene_cam_01_geometry_hdf5/frame.0030.semantic.hdf5
55,56,hypersim_data/ai_048_005/images/scene_cam_01_geometry_hdf5/frame.0035.depth_meters.hdf5,hypersim_data/ai_048_005/images/scene_cam_01_final_preview/frame.0035.color.jpg,hypersim_data/ai_048_005/images/scene_cam_01_geometry_hdf5/frame.0035.semantic_instance.hdf5,hypersim_data/ai_048_005/images/scene_cam_01_geometry_hdf5/frame.0035.semantic.hdf5
56,57,hypersim_data/ai_054_007/images/scene_cam_02_geometry_hdf5/frame.0050.depth_meters.hdf5,hypersim_data/ai_054_007/images/scene_cam_02_final_preview/frame.0050.color.jpg,hypersim_data/ai_054_007/images/scene_cam_02_geometry_hdf5/frame.0050.semantic_instance.hdf5,hypersim_data/ai_054_007/images/scene_cam_02_geometry_hdf5/frame.0050.semantic.hdf5
57,58,hypersim_data/ai_023_010/images/scene_cam_02_geometry_hdf5/frame.0065.depth_meters.hdf5,hypersim_data/ai_023_010/images/scene_cam_02_final_preview/frame.0065.color.jpg,hypersim_data/ai_023_010/images/scene_cam_02_geometry_hdf5/frame.0065.semantic_instance.hdf5,hypersim_data/ai_023_010/images/scene_cam_02_geometry_hdf5/frame.0065.semantic.hdf5
58,59,hypersim_data/ai_041_005/images/scene_cam_01_geometry_hdf5/frame.0095.depth_meters.hdf5,hypersim_data/ai_041_005/images/scene_cam_01_final_preview/frame.0095.color.jpg,hypersim_data/ai_041_005/images/scene_cam_01_geometry_hdf5/frame.0095.semantic_instance.hdf5,hypersim_data/ai_041_005/images/scene_cam_01_geometry_hdf5/frame.0095.semantic.hdf5
59,60,hypersim_data/ai_033_007/images/scene_cam_01_geometry_hdf5/frame.0020.depth_meters.hdf5,hypersim_data/ai_033_007/images/scene_cam_01_final_preview/frame.0020.color.jpg,hypersim_data/ai_033_007/images/scene_cam_01_geometry_hdf5/frame.0020.semantic_instance.hdf5,hypersim_data/ai_033_007/images/scene_cam_01_geometry_hdf5/frame.0020.semantic.hdf5
60,61,hypersim_data/ai_039_008/images/scene_cam_00_geometry_hdf5/frame.0045.depth_meters.hdf5,hypersim_data/ai_039_008/images/scene_cam_00_final_preview/frame.0045.color.jpg,hypersim_data/ai_039_008/images/scene_cam_00_geometry_hdf5/frame.0045.semantic_instance.hdf5,hypersim_data/ai_039_008/images/scene_cam_00_geometry_hdf5/frame.0045.semantic.hdf5
61,62,hypersim_data/ai_011_007/images/scene_cam_01_geometry_hdf5/frame.0095.depth_meters.hdf5,hypersim_data/ai_011_007/images/scene_cam_01_final_preview/frame.0095.color.jpg,hypersim_data/ai_011_007/images/scene_cam_01_geometry_hdf5/frame.0095.semantic_instance.hdf5,hypersim_data/ai_011_007/images/scene_cam_01_geometry_hdf5/frame.0095.semantic.hdf5
62,63,hypersim_data/ai_026_011/images/scene_cam_00_geometry_hdf5/frame.0005.depth_meters.hdf5,hypersim_data/ai_026_011/images/scene_cam_00_final_preview/frame.0005.color.jpg,hypersim_data/ai_026_011/images/scene_cam_00_geometry_hdf5/frame.0005.semantic_instance.hdf5,hypersim_data/ai_026_011/images/scene_cam_00_geometry_hdf5/frame.0005.semantic.hdf5
63,64,hypersim_data/ai_016_005/images/scene_cam_00_geometry_hdf5/frame.0055.depth_meters.hdf5,hypersim_data/ai_016_005/images/scene_cam_00_final_preview/frame.0055.color.jpg,hypersim_data/ai_016_005/images/scene_cam_00_geometry_hdf5/frame.0055.semantic_instance.hdf5,hypersim_data/ai_016_005/images/scene_cam_00_geometry_hdf5/frame.0055.semantic.hdf5
64,65,hypersim_data/ai_027_006/images/scene_cam_01_geometry_hdf5/frame.0005.depth_meters.hdf5,hypersim_data/ai_027_006/images/scene_cam_01_final_preview/frame.0005.color.jpg,hypersim_data/ai_027_006/images/scene_cam_01_geometry_hdf5/frame.0005.semantic_instance.hdf5,hypersim_data/ai_027_006/images/scene_cam_01_geometry_hdf5/frame.0005.semantic.hdf5
65,66,hypersim_data/ai_054_007/images/scene_cam_02_geometry_hdf5/frame.0075.depth_meters.hdf5,hypersim_data/ai_054_007/images/scene_cam_02_final_preview/frame.0075.color.jpg,hypersim_data/ai_054_007/images/scene_cam_02_geometry_hdf5/frame.0075.semantic_instance.hdf5,hypersim_data/ai_054_007/images/scene_cam_02_geometry_hdf5/frame.0075.semantic.hdf5
66,67,hypersim_data/ai_026_009/images/scene_cam_00_geometry_hdf5/frame.0005.depth_meters.hdf5,hypersim_data/ai_026_009/images/scene_cam_00_final_preview/frame.0005.color.jpg,hypersim_data/ai_026_009/images/scene_cam_00_geometry_hdf5/frame.0005.semantic_instance.hdf5,hypersim_data/ai_026_009/images/scene_cam_00_geometry_hdf5/frame.0005.semantic.hdf5
67,68,hypersim_data/ai_032_004/images/scene_cam_01_geometry_hdf5/frame.0045.depth_meters.hdf5,hypersim_data/ai_032_004/images/scene_cam_01_final_preview/frame.0045.color.jpg,hypersim_data/ai_032_004/images/scene_cam_01_geometry_hdf5/frame.0045.semantic_instance.hdf5,hypersim_data/ai_032_004/images/scene_cam_01_geometry_hdf5/frame.0045.semantic.hdf5
68,69,hypersim_data/ai_029_001/images/scene_cam_02_geometry_hdf5/frame.0035.depth_meters.hdf5,hypersim_data/ai_029_001/images/scene_cam_02_final_preview/frame.0035.color.jpg,hypersim_data/ai_029_001/images/scene_cam_02_geometry_hdf5/frame.0035.semantic_instance.hdf5,hypersim_data/ai_029_001/images/scene_cam_02_geometry_hdf5/frame.0035.semantic.hdf5
69,70,hypersim_data/ai_002_003/images/scene_cam_00_geometry_hdf5/frame.0010.depth_meters.hdf5,hypersim_data/ai_002_003/images/scene_cam_00_final_preview/frame.0010.color.jpg,hypersim_data/ai_002_003/images/scene_cam_00_geometry_hdf5/frame.0010.semantic_instance.hdf5,hypersim_data/ai_002_003/images/scene_cam_00_geometry_hdf5/frame.0010.semantic.hdf5
70,71,hypersim_data/ai_010_001/images/scene_cam_00_geometry_hdf5/frame.0095.depth_meters.hdf5,hypersim_data/ai_010_001/images/scene_cam_00_final_preview/frame.0095.color.jpg,hypersim_data/ai_010_001/images/scene_cam_00_geometry_hdf5/frame.0095.semantic_instance.hdf5,hypersim_data/ai_010_001/images/scene_cam_00_geometry_hdf5/frame.0095.semantic.hdf5
